index,carat,cut,color,clarity,depth,table,x,y,z,price
0,1.01,Ideal,G,VVS2,60.6,57.0,6.54,6.5,3.95,7167
1,0.31,Good,F,SI1,63.5,56.0,4.3,4.33,2.74,516
2,1.02,Premium,D,SI2,59.5,62.0,6.56,6.52,3.89,4912
3,0.27,Ideal,E,VVS2,62.0,55.0,4.12,4.14,2.56,622
4,0.7,Very Good,F,VS2,61.7,63.0,5.64,5.61,3.47,2762
5,0.39,Very Good,E,SI2,63.0,61.0,4.62,4.65,2.92,650
6,0.31,Very Good,E,VS2,62.6,56.0,4.3,4.33,2.7,680
7,0.79,Ideal,F,SI1,61.2,56.0,5.96,6.01,3.66,3169
8,1.01,Very Good,I,SI1,62.9,58.0,6.34,6.37,4.0,4166
9,1.31,Premium,J,SI1,60.7,58.0,7.11,7.06,4.3,4475
10,0.59,Very Good,G,VS2,61.1,57.0,5.4,5.43,3.31,1664
11,0.9,Very Good,E,VS2,61.1,63.0,6.2,6.17,3.78,4062
12,0.37,Premium,G,VS2,60.7,57.0,4.69,4.64,2.83,833
13,1.63,Premium,G,SI1,61.0,59.0,7.64,7.58,4.64,11721
14,1.0,Good,F,SI2,59.4,64.0,6.52,6.48,3.86,3259
15,1.0,Fair,H,VVS2,65.3,58.0,6.25,6.18,4.06,4312
16,0.33,Very Good,G,SI1,61.6,57.0,4.42,4.45,2.73,492
17,0.31,Ideal,D,SI1,62.3,55.0,4.33,4.37,2.71,571
18,1.01,Ideal,G,VS2,59.7,57.0,6.49,6.44,3.86,6024
19,0.41,Ideal,E,VS1,62.3,57.0,4.74,4.77,2.96,1079
20,0.4,Very Good,F,VS1,63.4,54.0,4.68,4.72,2.98,909
21,0.76,Ideal,F,IF,59.6,58.0,5.95,5.96,3.55,4596
22,0.59,Very Good,G,VS1,62.0,56.0,5.35,5.39,3.33,1878
23,0.37,Ideal,J,VS1,62.4,55.0,4.64,4.59,2.88,624
24,1.01,Premium,F,SI2,60.0,60.0,6.46,6.4,3.86,3717
25,0.33,Very Good,E,SI1,63.1,56.0,4.45,4.42,2.8,693
26,0.9,Very Good,I,VVS1,63.5,58.0,6.06,6.09,3.86,4161
27,0.57,Ideal,F,VVS2,61.7,56.0,5.31,5.35,3.29,2402
28,0.41,Premium,I,SI2,60.6,59.0,4.84,4.8,2.92,600
29,1.01,Fair,D,SI1,66.9,54.0,6.25,6.21,4.17,4751
30,0.43,Good,D,SI2,63.1,59.0,4.8,4.81,3.03,669
31,0.77,Premium,F,VVS2,60.5,56.0,5.94,5.9,3.58,3450
32,0.36,Ideal,E,VS2,61.1,56.0,4.6,4.63,2.82,789
33,1.24,Very Good,J,VS1,62.1,58.0,6.85,6.96,4.29,5783
34,0.33,Premium,G,VS1,61.6,57.0,4.51,4.42,2.75,797
35,0.71,Premium,H,VS1,62.9,57.0,5.72,5.67,3.58,2572
36,1.08,Ideal,I,SI1,61.4,57.0,6.67,6.62,4.08,4476
37,1.0,Very Good,H,SI2,63.3,57.0,6.37,6.3,4.01,4200
38,0.33,Premium,I,SI1,62.8,58.0,4.43,4.39,2.77,572
39,0.51,Good,E,VVS2,60.7,57.7,5.17,5.19,3.14,2523
