index,carat,cut,color,clarity,depth,table,x,y,z
0,1.57,Premium,F,SI1,60.4,59.0,7.57,7.54,4.56
1,1.56,Ideal,G,SI1,61.2,56.0,7.51,7.49,4.59
2,0.7,Premium,E,VS1,58.4,59.0,5.91,5.83,3.43
3,0.9,Fair,G,SI1,65.4,57.0,6.04,5.95,3.92
4,1.22,Ideal,H,VS2,61.4,57.0,6.89,6.85,4.22
5,0.72,Very Good,G,VS1,60.5,57.0,5.8,5.83,3.52
6,0.33,Ideal,E,VS2,61.9,54.0,4.47,4.42,2.75
7,1.51,Very Good,F,VVS2,58.0,65.0,7.58,7.62,4.41
8,0.9,Ideal,G,VS1,62.1,56.0,6.15,6.19,3.83
9,0.33,Ideal,H,IF,61.1,56.0,4.47,4.5,2.74
10,1.02,Good,G,VVS2,63.1,59.0,6.38,6.45,4.05
11,0.32,Premium,G,VVS2,60.2,60.0,4.42,4.45,2.67
12,1.01,Good,G,VVS2,58.2,55.0,6.65,6.68,3.88
13,0.77,Ideal,J,VS2,61.9,54.0,5.89,5.94,3.66
14,0.56,Ideal,H,VVS1,62.1,53.8,5.27,5.33,3.29
15,0.71,Ideal,I,VS1,62.1,56.0,5.68,5.72,3.54
16,0.7,Very Good,G,VS1,63.1,57.0,5.7,5.61,3.57
17,0.4,Ideal,H,SI1,62.6,57.0,4.7,4.66,2.93
18,0.91,Premium,G,SI1,62.6,58.0,6.17,6.14,3.85
19,0.31,Ideal,D,VS2,62.1,56.0,4.35,4.34,2.7
20,0.42,Premium,E,SI1,62.7,57.0,4.83,4.77,3.01
21,0.5,Very Good,G,VVS2,62.9,55.0,5.05,5.09,3.19
22,0.49,Ideal,G,VS2,61.1,57.0,5.12,5.09,3.12
23,0.62,Premium,E,VVS2,60.7,60.0,5.51,5.43,3.32
24,0.76,Very Good,H,SI2,59.8,58.0,5.94,5.96,3.56
25,1.0,Very Good,F,VS1,62.9,56.0,6.38,6.43,4.03
26,1.27,Premium,J,VVS1,60.1,58.0,7.06,6.99,4.22
27,0.71,Ideal,E,VS2,62.0,57.0,5.71,5.74,3.55
28,0.61,Premium,F,VVS2,63.0,60.0,5.35,5.29,3.35
29,0.61,Premium,G,SI1,60.8,60.0,5.42,5.42,3.31
30,0.4,Good,E,SI1,63.5,55.0,4.67,4.71,2.98
31,0.52,Ideal,G,VVS2,61.6,54.0,5.17,5.22,3.2
32,1.54,Premium,G,SI1,61.8,59.0,7.37,7.32,4.54
33,1.14,Premium,F,SI2,60.8,58.0,6.79,6.74,4.11
34,1.01,Good,H,SI1,63.4,58.0,6.34,6.38,4.03
35,1.47,Premium,I,SI2,61.6,59.0,7.29,7.32,4.5
36,0.57,Premium,D,VS2,61.7,60.0,5.28,5.32,3.27
37,0.5,Fair,I,VS1,66.9,56.0,4.85,4.81,3.23
38,0.25,Good,E,VVS1,61.4,62.0,4.03,4.05,2.48
39,1.01,Very Good,F,SI1,62.8,58.0,6.35,6.43,4.01
40,0.52,Ideal,G,VVS1,62.0,55.0,5.15,5.18,3.2
41,1.17,Good,J,SI1,63.9,55.0,6.66,6.73,4.28
42,1.01,Premium,E,VS2,62.7,57.0,6.36,6.31,3.97
43,0.5,Premium,D,SI1,61.1,59.0,5.08,5.04,3.09
44,0.29,Premium,I,VS2,62.4,58.0,4.2,4.23,2.63
45,0.3,Very Good,E,VS2,62.1,62.0,4.21,4.26,2.63
46,1.52,Premium,F,SI2,60.7,61.0,7.47,7.36,4.5
47,1.2,Ideal,I,SI1,60.1,56.0,6.9,6.84,4.13
48,1.01,Premium,H,VS2,62.4,58.0,6.42,6.36,3.99
49,1.54,Premium,I,SI2,61.5,61.0,7.41,7.31,4.53
50,0.35,Ideal,D,VS2,62.4,55.0,4.48,4.52,2.81
51,1.01,Very Good,G,SI1,62.0,63.0,6.34,6.25,3.9
52,0.31,Ideal,G,VVS2,62.1,56.0,4.32,4.35,2.69
53,2.01,Premium,I,SI2,62.3,59.0,8.01,7.97,4.98
54,1.62,Very Good,H,VS2,62.6,58.0,7.57,7.45,4.7
55,1.02,Fair,F,SI1,64.8,59.0,6.33,6.23,4.07
56,0.72,Very Good,G,SI2,59.7,56.0,5.83,5.89,3.5
57,1.2,Good,G,SI2,63.1,57.0,6.73,6.77,4.26
58,0.33,Ideal,H,VS2,60.7,57.0,4.45,4.48,2.71
59,0.51,Premium,G,SI1,62.4,58.0,5.13,5.07,3.18
60,2.23,Very Good,J,SI2,60.5,61.0,8.4,8.47,5.1
61,1.04,Very Good,F,IF,63.0,55.0,6.36,6.53,4.06
62,1.15,Ideal,E,VVS1,60.9,56.0,6.79,6.8,4.14
63,0.41,Very Good,E,VS1,62.9,56.0,4.72,4.78,2.99
64,1.04,Very Good,F,VS2,61.0,60.0,6.54,6.48,3.97
65,0.52,Good,G,VS2,63.3,57.0,5.09,5.11,3.23
66,0.38,Ideal,E,SI1,61.7,58.0,4.71,4.63,2.88
67,0.34,Premium,G,VS2,61.3,58.0,4.51,4.53,2.77
68,0.54,Premium,E,SI1,61.6,61.0,5.23,5.2,3.21
69,1.04,Very Good,D,SI2,62.9,58.0,6.41,6.47,4.05
70,2.02,Premium,E,SI2,59.9,58.0,8.18,8.14,4.89
71,1.59,Premium,E,SI2,60.5,59.0,7.59,7.55,4.58
72,0.35,Premium,G,VS1,61.5,58.0,4.54,4.5,2.78
73,1.0,Very Good,F,SI1,63.1,57.0,6.37,6.33,4.01
74,0.71,Premium,D,SI1,61.6,60.0,5.74,5.69,3.52
75,0.32,Premium,H,VS1,60.6,60.0,4.44,4.4,2.68
76,1.27,Very Good,I,I1,60.2,62.0,7.0,7.05,4.23
77,0.57,Ideal,D,SI2,62.3,53.0,5.32,5.34,3.32
78,0.7,Very Good,E,SI1,63.2,61.0,5.61,5.49,3.51
79,0.33,Premium,G,VVS1,62.8,59.0,4.44,4.38,2.77
